; Fichero Generado por el Mityc04/09/2013

-5.22303, 38.72979, "ESTACION DE SERVICIO ARME L-D: 06:30-10:00 1,230 e"
1.16989, 41.25058, "ESTACIO SERVEI ALCOVER Horario Especial 1,265 e"
1.31292, 42.06433, "ESTACIO SERVEI OLIANA Horario Especial 1,278 e"
-4.19303, 38.00558, "TAMOIL L-D: 24H 1,279 e"
-2.41739, 42.46239, "EROSKI Horario Especial 1,280 e"
-2.91764, 42.70464, "EROSKI L-S: 10:00-22:00 1,282 e"
-0.41861, 39.30778, "COAGAL L-D: 24H 1,289 e"
-4.48775, 37.69506, "GRG L-D: 07:30-13:30 y 16:00-20:00 1,296 e"
-8.19522, 43.53181, "ORTEGAL OIL L-D: 24H 1,297 e"
1.00117, 41.72222, "XOPLUC-PETROMIRALLES L-D: 24H 1,298 e"
-1.68623, 42.82972, "EUROCAM L-D: 24H 1,299 e"
-5.79682, 43.26756, "DAM,S.L. L-D: 08:00-22:00 1,299 e"
-4.39881, 40.15869, "FARRUCO S.A. Horario Especial 1,299 e"
-1.63429, 42.78520, "E.LECLERC L: 08:00-10:30 1,299 e"
1.21708, 41.11400, "TAMOIL L-D: 24H 1,299 e"
-0.98964, 41.69569, "CEPSA L-D: 24H 1,299 e"
1.78944, 41.76964, "TAMOIL L-D: 06:00-22:00 1,299 e"
2.10794, 41.35831, "TAMOIL L-D: 24H 1,299 e"
-3.41474, 42.73483, "E.S. ANGULO ONA L: 07:00-22:00 1,300 e"
-2.77225, 42.82378, "EUROCAM L-D: 24H 1,308 e"
-6.27192, 36.77872, "LIBRE L-D: 06:00-22:00 1,310 e"
-2.95175, 42.69550, "E.LECLERC L-D: 24H 1,310 e"
-7.84511, 43.65803, "ORTEGAL OIL Horario Especial 1,312 e"
-1.69844, 41.94892, "COOP. NTRA.SRA. PILAR L-D: 24H 1,315 e"
-2.27403, 43.27356, "AVIA Horario Especial 1,317 e"
1.62233, 41.58906, "PETROMIRALLES L-D: 24H 1,317 e"
0.98540, 41.67986, "COOP. IVARS L-D: 24H 1,319 e"
2.29608, 42.00425, "FEIXAS AULET L-D: 24H 1,319 e"
2.24358, 41.88203, "ESCLATOIL L-D: 24H 1,319 e"
-1.85203, 42.55181, "AN ENERGETICOS LARRAGA L-D: 24H 1,319 e"
-1.66506, 42.49464, "AN ENERGETICOS L-D: 24H 1,321 e"
-2.92067, 42.69292, "EESS ROMPETROL L-D: 07:00-23:00 1,324 e"
-0.23058, 39.96383, "BDMED L-D: 24H 1,325 e"
-1.67764, 42.83239, "EROSKI L-D: 24H 1,326 e"
-8.46789, 43.23061, "GASOLINERA O CORGO L-S: 07:00-22:00 1,329 e"
-0.58803, 42.04011, "VIRGEN DE LA CORONA L-D: 24H 1,330 e"
-2.93050, 43.40808, "EROSKI L-D: 24H 1,332 e"
-0.98111, 41.65144, "EROSKI Horario Especial 1,332 e"
-3.02428, 43.31164, "EROSKI Horario Especial 1,332 e"
-2.66428, 42.86031, "EROSKI L-D: 24H 1,332 e"
-1.94389, 43.31119, "EROSKI L-D: 24H 1,332 e"
-2.47528, 43.07070, "EROSKI Horario Especial 1,332 e"
-2.02219, 43.27689, "EROSKI Horario Especial 1,332 e"
-2.97319, 43.31769, "EROSKI Horario Especial 1,332 e"
-2.87589, 43.22750, "EROSKI L-D: 24H 1,332 e"
-2.99439, 43.34039, "EROSKI L-D: 24H 1,332 e"
-3.12489, 43.20989, "EROSKI L-S: 07:30-21:30 1,332 e"
-2.61811, 43.17189, "EROSKI L-D: 24H 1,332 e"
-3.00419, 43.28719, "EROSKI L-D: 24H 1,332 e"
-2.96800, 43.13800, "EROSKI L-S: 07:30-21:30 1,332 e"
-0.50908, 39.18589, "PETROMAX LEVANTE L-D: 24H 1,338 e"
1.22180, 41.13850, "BIONET L-D: 24H 1,339 e"
-1.14589, 38.03100, "THADER L-D: 24H 1,339 e"
-1.13750, 38.01853, "THADER L-D: 24H 1,339 e"
-0.14728, 42.10881, "COMBUSTIBLES DEL PIRINEO Horario Especial 1,339 e"
-3.93711, 38.99233, "E.LECLERC L-D: 24H 1,340 e"
2.77406, 41.67828, "BTP L: 06:30-22:30 1,345 e"
-1.48322, 37.75696, "COATO L-S: 08:00-22:00 1,345 e"
-6.14517, 36.67022, "TAMOIL L-D: 24H 1,347 e"
2.09633, 41.53636, "COBASA L-M: 06:00-23:00; X-D: 24H 1,349 e"
-0.07575, 39.97172, "BDMED L-D: 24H 1,350 e"
-0.75761, 41.93875, "ARENTO L-D: 24H 1,351 e"
-2.99939, 38.17492, "AGLA L-D: 06:00-22:00 1,352 e"
-5.64222, 40.94631, "E.LECLERC L-D: 24H 1,354 e"
-1.76994, 42.24414, "ESM Horario Especial 1,355 e"
-8.69686, 42.22142, "BYE L-D: 07:00-00:00 1,355 e"
-4.30281, 41.39025, "AN GLUS L-D: 24H 1,355 e"
-1.78997, 42.33594, "EROSKI L-D: 24H 1,356 e"
-1.58800, 42.03550, "EROSKI L-S: 09:30-22:00 1,356 e"
-5.72808, 43.32272, "DAM,S.L. L-D: 06:00-22:00 1,357 e"
2.08689, 41.60153, "BTP L: 06:30-22:30 1,359 e"
-1.59308, 42.16761, "E.S.LA RECTA Horario Especial 1,359 e"
2.36292, 42.03206, "AREA DE SERVEI EL CABRERE L-D: 24H 1,359 e"
-7.10972, 42.80419, "G ESTACIONES DE SERVICIO L-D: 08:30-21:00 1,359 e"
2.42817, 41.52319, "GALP L-D: 24H 1,359 e"
1.73686, 41.22167, "SIMPLY L-S: 09:30-21:30 1,359 e"
2.09036, 41.55506, "MEROIL L-D: 06:30-22:30 1,359 e"
2.11211, 41.53417, "MEROIL L-D: 06:00-22:00 1,359 e"
0.47189, 40.53958, "TAMOIL Horario Especial 1,359 e"
-3.83694, 43.42889, "EROSKI L-D: 24H 1,360 e"
0.51600, 40.81942, "SIMPLY L-D: 24H 1,362 e"
-1.98125, 42.31258, "EROSKI L-D: 24H 1,362 e"
-0.42528, 42.14806, "EROSKI L-D: 07:00-22:00 1,362 e"
2.20703, 41.40669, "TAMOIL L-D: 24H 1,363 e"
-1.78817, 42.24864, "EROSKI L-D: 24H 1,366 e"
-6.63822, 42.56578, "VALCARCE L-D: 24H 1,369 e"
2.81172, 42.06383, "PETROESTANY L-D: 24H 1,369 e"
-8.52716, 42.91800, "STAROIL Horario Especial 1,369 e"
1.13347, 41.66278, "PETROMIRALLES L-D: 24H 1,369 e"
1.85775, 42.16031, "PETROMIRALLES L-D: 24H 1,369 e"
2.00844, 41.57042, "TAMOIL L-D: 24H 1,369 e"
-0.33539, 39.56297, "TAMOIL L-D: 05:00-23:00 1,369 e"
-4.42494, 40.02586, "FARRUCO S.A. Horario Especial 1,369 e"
1.85761, 42.15956, "PETROMIRALLES L-D: 24H 1,369 e"
2.03994, 41.55275, "COBASA L-D: 06:00-22:00 1,369 e"
-7.78736, 42.62125, "ICOS OIL L-D: 07:00-00:00 1,370 e"
-0.52978, 42.57719, "EROSKI L-D: 24H 1,372 e"
-2.92983, 36.75303, "CAMPSA L: 06:30-22:30 1,374 e"
-0.78283, 41.88358, "COOP.SAN LICER - ARENTO L-D: 24H 1,377 e"
-3.63267, 37.19561, "TAMOIL L-D: 24H 1,379 e"
-3.78292, 37.78767, "TAMOIL L-D: 07:00-23:00 1,379 e"
1.59281, 41.27547, "TAMOIL L-D: 06:00-22:00 1,379 e"
-3.15508, 43.34092, "EL HAYA SERVICIOS S.A. L-D: 24H 1,379 e"
2.94778, 42.25808, "E.S.AVINYONET L-D: 24H 1,379 e"
-1.77720, 42.71072, "ACCIONA BIOCOMBUSTIBLES L-D: 07:00-23:00 1,380 e"
-1.77781, 42.71089, "ACCIONA BIOCOMBUSTIBLES L-D: 07:00-23:00 1,380 e"
-8.85531, 43.05694, "E.S. CABREIRA L-D: 07:00-23:00 1,380 e"
1.55608, 41.98453, "REDTORTUGA L-D: 24H 1,380 e"
-5.51208, 42.39594, "AN ENERGETICOS UCOGAL L-D: 24H 1,382 e"
-3.32006, 42.55589, "NORPETROL L-D: 24H 1,384 e"
-2.07594, 42.89964, "ETXARRI OIL L-D: 24H 1,385 e"
-3.69044, 40.23953, "E.LECLERC Horario Especial 1,385 e"
-5.12497, 43.35411, "ESC-PETROLEOS L-D: 06:00-23:00 1,387 e"
1.59961, 41.26581, "PETROCAT L-D: 06:00-22:00 1,388 e"
-5.51553, 42.29669, "SAENZ DE MIERA SL L-D: 06:00-00:00 1,389 e"
1.81625, 41.72267, "SETSERVEIS L-D: 24H 1,389 e"
-5.26286, 37.70203, "GALP L-D: 07:00-21:00 1,389 e"
-0.40181, 39.40792, "BIOMAR OIL L-D: 24H 1,390 e"
-0.39253, 39.40256, "BIOMAR OIL L-D: 06:00-22:00 1,390 e"
-0.47122, 38.46311, "TEXAS-OIL L-D: 06:00-22:00 1,390 e"
-2.67964, 36.75542, "CEPSA L-D: 06:30-22:00 1,391 e"
-2.71272, 42.86378, "AVIA L-D: 06:30-22:30 1,391 e"
2.00961, 41.29425, "SARAS ENERGIA  L-D: 07:00-23:00 1,392 e"
-5.37250, 37.49950, "HBC L-D: 24H 1,393 e"
-0.34292, 39.15597, "COOPERATIVA DE CORBERA L-D: 06:00-22:00 1,394 e"
-6.07194, 37.28978, "E.S. INIGO L-D: 06:30-22:30 1,394 e"
-1.77819, 37.34728, "A.S. EL ARTINERO Horario Especial 1,395 e"
-8.40661, 42.77694, "PONTEULLA Horario Especial 1,395 e"
-1.96625, 43.29708, "AVIA L-D: 24H 1,396 e"
-2.48292, 43.18161, "E.S. KANTOI L-D: 24H 1,396 e"
-2.18833, 43.04195, "AVIA L-D: 06:30-22:30 1,396 e"
2.63436, 41.95817, "BTP L: 06:30-22:30 1,396 e"
-4.76294, 37.87567, "EMPOWERING Horario Especial 1,398 e"
-3.06478, 38.36233, "STMO CRISTO DE LA EXPIRAC L-S: 07:00-21:00 1,399 e"
-5.40750, 36.33694, "E.S. LA ALMORAIMA L-D: 06:30-22:30 1,399 e"
2.88675, 42.03092, "BTP L-D: 06:30-22:30 1,399 e"
2.16056, 41.37528, "GALP L-D: 24H 1,399 e"
2.13525, 41.49972, "SABATER NURI CARBURANTS S L-D: 24H 1,399 e"
2.12497, 41.50028, "SABATER NURI CARBURANTS S L-D: 24H 1,399 e"
2.08083, 41.35381, "MEROIL L-D: 24H 1,399 e"
-0.50564, 39.36878, "TAMOIL Horario Especial 1,399 e"
-0.47291, 39.44859, "AMERICAN PETROL L-D: 24H 1,399 e"
0.50194, 40.71853, "DISPETAP ESTACIO SERVEIS Horario Especial 1,399 e"
-6.25997, 40.06067, "MARCOS GARRIDO L-D: 07:00-23:00 1,399 e"
-5.41119, 36.20389, "CODES L-D: 24H 1,399 e"
-4.27453, 36.72528, "TAMOIL L-D: 24H 1,399 e"
-5.07936, 37.53419, "HBC L-D: 24H 1,400 e"
1.69442, 41.34119, "ESTACIO SERVEI MONTBLANC L-D: 24H 1,401 e"
-3.77050, 40.81000, "EDV L-D: 06:00-00:00 1,402 e"
-8.42311, 43.35717, "ESTACION DE SERVICIO BENS L-D: 07:00-23:00 1,403 e"
2.08300, 41.37233, "MEROIL L-D: 24H 1,404 e"
2.82350, 42.02012, "PETREM L-D: 24H 1,404 e"
2.97317, 42.26668, "PETREM L-D: 24H 1,404 e"
2.96736, 42.26985, "PETREM L-D: 24H 1,404 e"
2.82348, 42.02015, "PETREM L-D: 24H 1,404 e"
-0.26536, 39.67833, " OCTAPLUS L-D: 07:00-23:00 1,405 e"
-8.36333, 43.25358, "ESTACION DE SERVICIO TABE Horario Especial 1,405 e"
-8.36741, 43.28497, "ESTACION DE SERVICIO SIGR Horario Especial 1,405 e"
1.65239, 41.31386, "GALP Horario Especial 1,405 e"
-5.93386, 37.43153, "SANCARISA L: 06:00-23:00 1,405 e"
-0.15042, 39.85239, "COOPERATIVA SANT JOSEP L-D: 24H 1,406 e"
2.13708, 41.33292, "PETROZAL L-V: 06:00-22:00 1,407 e"
-3.70714, 41.67025, "DACAR L: 06:00-00:00 1,407 e"
-4.69353, 37.13194, "ANTEQUERANA'S OIL L-D: 24H 1,408 e"
-4.69331, 37.13319, "ANTEQUERANA'S OIL L-D: 24H 1,408 e"
-6.54086, 37.35522, "AGLA L-D: 24H 1,409 e"
-6.06986, 37.26253, "E.S. SALVADOR CABELLO L-D: 06:30-23:00 1,409 e"
-6.04694, 37.29256, "E.S. EL ROCIO L-D: 06:30-23:00 1,409 e"
-5.42914, 37.57211, "E.S. SAN MIGUEL L-D: 06:30-23:00 1,409 e"
2.65797, 41.88531, "QOIL L-D: 06:30-22:00 1,409 e"
-8.37428, 43.31883, "GALP L-D: 24H 1,410 e"
-7.18208, 42.02489, "STAROIL L-D: 24H 1,410 e"
-3.83611, 43.40442, "AREA DE SERVICIO LA PALME L-S: 07:00-13:00 1,412 e"
0.81623, 41.77281, "NOGUERAPARC L-D: 24H 1,414 e"
1.88364, 41.50106, "ANG PETROLIS L-D: 24H 1,415 e"
-4.52767, 36.59050, "BENAZAHAR L-D: 06:30-23:30 1,417 e"
-6.37308, 39.97269, "BATAN L: 06:30-22:00 1,418 e"
3.03122, 41.96753, "CONDIS L-D: 24H 1,418 e"
-0.92519, 41.66014, "REPSOL L-D: 05:00-01:00 1,419 e"
0.90234, 41.71536, "ASERLI L-D: 24H 1,419 e"
2.02544, 41.56928, "MEROIL L-D: 06:00-22:00 1,419 e"
-2.67294, 42.85500, "EMPRESA DE SERVICIOS SANT L: 07:00-23:00 1,419 e"
2.06189, 41.36764, "MEROIL L-D: 24H 1,419 e"
-4.05858, 43.35153, "AREA DE SERVICIO TORRELAV L-D: 07:00-23:00 1,419 e"
-3.69511, 42.35869, "AVIA VISTA ALEGRE L-D: 24H 1,420 e"
-0.51247, 38.33586, "TAMOIL L-D: 07:00-22:00 1,420 e"
-0.45556, 39.36056, "MEROIL Horario Especial 1,420 e"
-3.76775, 43.35897, "AREA DE SERVICIO PAMANES L-D: 06:00-22:00 1,420 e"
-5.10906, 37.24547, "MEROIL L-D: 6:00-22:00 1,422 e"
-3.43900, 40.46569, "SHELL L-D: 24H 1,425 e"
-4.06928, 43.31449, "E.S. ESCARTE, S.A. L-D: 07:00-23:00 1,428 e"
2.15592, 41.32847, "PETROMIRALLES L-D: 24H 1,429 e"
1.68758, 41.33894, "PETROMIRALLES L-D: 24H 1,429 e"
-3.84350, 43.41222, "G2 L-D: 24H 1,429 e"
-5.12181, 41.59782, "REPOSTAR-LA TORRE L-D: 24H 1,430 e"
-4.13592, 36.79411, "AGLA L-D: 24H 1,432 e"
-3.32297, 42.02764, "PINAROIL S.L. Horario Especial 1,432 e"
-3.60761, 42.36942, "LAS ARENAS L-D: 24H 1,433 e"
-4.76809, 41.66182, "REPOSTAR--ZARATAN L-D: 07:00-22:00 1,433 e"
-4.54800, 36.66844, "HIDROCARBUROS ALHAURIN -  L-D: 24H 1,433 e"
1.51347, 41.18625, "PETROMIRALLES L-D: 06:00-22:00 1,434 e"
0.86258, 42.70022, "E.S. NAUT ARAN L-D: 24H 1,434 e"
1.94547, 41.32761, "PETROCAT L-D: 06:30-22:30 1,434 e"
-2.90039, 43.30608, "AVIA  USOA L-D: 06:00-22:00 1,435 e"
-6.51189, 37.23311, "ESTACION DE SERVICIO PUER L-D: 06:00-22:00 1,437 e"
-6.05828, 37.29375, "E.S. LA ESTRELLA Horario Especial 1,438 e"
2.17383, 41.37464, "ESTACION SERVICIO UBACH S L-D: 24H 1,439 e"
1.82561, 41.49642, "PEDROSA CENTER L-D: 24H 1,439 e"
-4.55011, 36.67369, "LAS AMERICAS L-D: 24H 1,439 e"
-4.09631, 36.74594, "LISBONA OIL Horario Especial 1,440 e"
-4.61500, 36.72247, "AGLA L-D: 06:00-23:00 1,441 e"
-6.99103, 37.27394, "TAMOIL L-D: 07:00-23:00 1,442 e"
2.81083, 41.89689, "TAMOIL L-D: 06:30-22:00 1,444 e"
-5.85751, 36.62816, "LIBRE L-D: 07:00-22:00 1,446 e"
2.12889, 41.43031, "MEROIL L-D: 24H 1,449 e"
2.82375, 42.22100, "PETROCAT L-D: 06:00-22:00 1,449 e"
-6.73708, 37.92883, "AGLA L-D: 06:00-22:00 1,450 e"
-1.12458, 39.50542, "GVEGA L-D: 24H 1,450 e"
-6.91961, 37.26331, "TYCSA L-D: 06:30-22:30 1,452 e"
-6.35353, 36.66083, "LAS MARISMAS DE ROTA (L.M L-D: 24H 1,452 e"
-4.12875, 43.00714, "PARTE L-D: 06:00-00:00 1,452 e"
-3.67908, 40.50806, "SHELL L-D: 24H 1,458 e"
-6.91750, 37.27308, "TYCSA L-D: 06:30-22:30 1,459 e"
-4.71781, 41.67254, "E.S. MERCAOLID L-S: 05:00-22:00 1,459 e"
2.18828, 41.44800, "MEROIL L-D: 24H 1,461 e"
-6.19658, 37.36746, "SAJARDINES L-D: 06:00-00:00 1,462 e"
-3.70839, 40.42969, "REPSOL L-D: 24H 1,463 e"
-6.17461, 36.47089, "E.S. TRES CAMINOS L-D: 06:00-23:00 1,463 e"
2.20169, 41.40950, "PETROCAT Horario Especial 1,464 e"
-4.72698, 36.78128, "EE.SS LA SERRANA Horario Especial 1,466 e"
-0.08944, 39.94794, "COOPERATIVA CATOLICO AGRA L-D: 06:00-22:00 1,475 e"
1.88122, 41.52828, "REPSOL L-D: 24H 1,479 e"
-5.64722, 41.99219, "REPSOL L-D: 24H 1,485 e"
-5.51653, 40.35850, "BELLAVISTA S.L. L-D: 07:00-23:00 1,489 e"
-4.54592, 42.01617, "SUANCES L-D: 24H 1,490 e"
-0.05925, 39.95147, "MONOIL Horario Especial 1,543 e"

